epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3636,1.10191,1.63064,1.28192,0.69454,0.68747,0.75843,0.49269,1.10106,1.33234,1.3686,0.0671111,0.000332211,0.000332211
2,182.828,1.0384,1.08826,1.22414,0.77014,0.70291,0.77753,0.53815,1.06739,1.08828,1.34495,0.0340979,0.000652367,0.000652367
3,270.102,1.04044,1.02863,1.23196,0.81473,0.77801,0.84113,0.61566,0.94815,0.99541,1.26884,0.00107156,0.000959322,0.000959322
4,361.005,1.01802,0.96844,1.2141,0.87132,0.81781,0.89974,0.64732,0.95342,0.76955,1.28578,0.0009406,0.0009406,0.0009406
5,448.359,1.00135,0.91892,1.1944,0.73946,0.80534,0.83572,0.60747,0.98421,0.92446,1.26586,0.0009208,0.0009208,0.0009208
6,536.325,0.96636,0.83911,1.17842,0.89353,0.8564,0.91888,0.68444,0.89018,0.69315,1.2122,0.000901,0.000901,0.000901
7,624.063,0.95579,0.81212,1.1766,0.869,0.85108,0.91387,0.69153,0.86106,0.70945,1.18882,0.0008812,0.0008812,0.0008812
8,713.033,0.95009,0.79282,1.16783,0.85904,0.82959,0.90528,0.67164,0.92463,0.74226,1.23368,0.0008614,0.0008614,0.0008614
9,804.397,0.92181,0.76491,1.14877,0.87502,0.88711,0.93092,0.7134,0.86698,0.62228,1.18583,0.0008416,0.0008416,0.0008416
10,892.702,0.91254,0.72563,1.14362,0.87101,0.86959,0.91025,0.70241,0.85219,0.71209,1.17818,0.0008218,0.0008218,0.0008218
11,980.303,0.90379,0.71435,1.14092,0.88461,0.89311,0.94007,0.71599,0.84787,0.60955,1.19901,0.000802,0.000802,0.000802
12,1068.49,0.90371,0.70059,1.13944,0.90722,0.86551,0.92351,0.69209,0.90316,0.6409,1.21306,0.0007822,0.0007822,0.0007822
13,1154.54,0.89694,0.67681,1.1332,0.92564,0.87791,0.94299,0.7246,0.83589,0.56621,1.17933,0.0007624,0.0007624,0.0007624
14,1240.25,0.88985,0.68116,1.12595,0.91903,0.89296,0.93777,0.71416,0.84139,0.58298,1.18458,0.0007426,0.0007426,0.0007426
15,1330,0.87113,0.66943,1.1152,0.93988,0.84965,0.93746,0.72906,0.84171,0.57685,1.17771,0.0007228,0.0007228,0.0007228
16,1420.8,0.87015,0.64407,1.12074,0.91451,0.8977,0.94147,0.7216,0.84268,0.55674,1.18494,0.000703,0.000703,0.000703
17,1511.34,0.86614,0.65939,1.12618,0.92639,0.87726,0.94044,0.74997,0.81231,0.53823,1.14471,0.0006832,0.0006832,0.0006832
18,1602.04,0.86887,0.62988,1.12233,0.90332,0.89731,0.93392,0.72395,0.86066,0.54224,1.19845,0.0006634,0.0006634,0.0006634
19,1691.3,0.85078,0.62979,1.10968,0.91351,0.91479,0.95041,0.74382,0.80912,0.51271,1.16551,0.0006436,0.0006436,0.0006436
20,1770.82,0.85338,0.6133,1.1143,0.91541,0.93041,0.95235,0.75659,0.80961,0.50717,1.1563,0.0006238,0.0006238,0.0006238
21,1850.57,0.8363,0.59902,1.10611,0.94176,0.89601,0.9581,0.74815,0.81147,0.50305,1.15268,0.000604,0.000604,0.000604
22,1930.96,0.84586,0.60044,1.10655,0.91134,0.92686,0.9543,0.75464,0.79347,0.48848,1.14972,0.0005842,0.0005842,0.0005842
23,2008.88,0.83443,0.58189,1.09458,0.91791,0.92459,0.95076,0.75377,0.79741,0.49049,1.13924,0.0005644,0.0005644,0.0005644
24,2087.21,0.83251,0.56324,1.09564,0.92606,0.91815,0.95244,0.75114,0.80716,0.50305,1.14181,0.0005446,0.0005446,0.0005446
25,2165.04,0.8187,0.56975,1.09456,0.96229,0.8929,0.9534,0.73961,0.82734,0.50072,1.15926,0.0005248,0.0005248,0.0005248
